"job_id","job_title_short","job_location","company_name","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Anywhere","Mantys","Full-time","650000.0","2023-02-20 15:13:33"
547382,"Data Analyst","Anywhere","Meta","Full-time","336500.0","2023-08-23 12:04:42"
552322,"Data Analyst","Anywhere","AT&T","Full-time","255829.5","2023-06-18 16:03:12"
99305,"Data Analyst","Anywhere","Pinterest Job Advertisements","Full-time","232423.0","2023-12-05 20:00:40"
1021647,"Data Analyst","Anywhere","Uclahealthcareers","Full-time","217000.0","2023-01-17 00:17:23"
168310,"Data Analyst","Anywhere","SmartAsset","Full-time","205000.0","2023-08-09 11:00:01"
731368,"Data Analyst","Anywhere","Inclusively","Full-time","189309.0","2023-12-07 15:00:13"
310660,"Data Analyst","Anywhere","Motional","Full-time","189000.0","2023-01-05 00:00:25"
1749593,"Data Analyst","Anywhere","SmartAsset","Full-time","186000.0","2023-07-11 16:00:05"
387860,"Data Analyst","Anywhere","Get It Recruit - Information Technology","Full-time","184000.0","2023-06-09 08:01:04"
